Track name,Artist name,Album,Playlist name,Type
KONONO N1 - Paradiso,,,My Playlist,playlist
LA DÉMESURE DU PAS - Somewhere,,,My Playlist,playlist
WHITE BOY SCREAM / JOSHUA HILL - Ouverture,,,My Playlist,playlist
AYA METWALLI - Fein Enta,,,My Playlist,playlist
ENSEMBLE NIST-NAH - Gerak Maju,,,My Playlist,playlist
BARRY KERR - The Snows They Melt The Soonest,,,My Playlist,playlist
MARIA VIOLENZA - Nero e bianco,,,My Playlist,playlist
NICHOLAS REMONDINO / NATALIA ROGANTINI - In un cielo,,,My Playlist,playlist
NICHOLAS REMONDINO / NATALIA ROGANTINI - Di Vento,,,My Playlist,playlist
XEXA - Kizomba OO3,,,My Playlist,playlist
MARIA VIOLENZA - U mari,,,My Playlist,playlist
MARIA PIA DE VITO - Amico mio (Meu caro amigo),,,My Playlist,playlist
MARIA PIA DE VITO - Samba e ammore (Samba e amor),,,My Playlist,playlist
BEN STAPP - Errathemuel,,,My Playlist,playlist
ORUÃ - Deus-Dara,,,My Playlist,playlist
NATURAL INFORMATION SOCIETY COMMUNITY ENSEMBLE WITH ARI BROWN - Murmuration,,,My Playlist,playlist
JOSHUA ABRAMS - Abide In Sunset,,,My Playlist,playlist
JOSHUA ABRAMS NATURAL INFORMATION SOCIETY - Finite,,,My Playlist,playlist
NATURAL INFORMATION SOCIETY COMMUNITY ENSEMBLE WITH ARI BROWN - Stigmergy,,,My Playlist,playlist
OKOUCHI DAISUKE - Dream Beach,,,My Playlist,playlist
YAWARAKAI HITOTACHI - Nooooodles,,,My Playlist,playlist
TOKUTARO HOSOI - The Big Whale's Dream 2,,,My Playlist,playlist
REIKO NONOYAMA - 1 Piano X Drums,,,My Playlist,playlist
YASEI COLLECTIVE - Breeze,,,My Playlist,playlist
HEX SHELL - The Cat 2.0,,,My Playlist,playlist
FRED FRITH - Evolution,,,My Playlist,playlist
BILL LASWELL / GENESIS P-ORRIDGE / PERCY HOWARD - The Old Man Of The Mountain,,,My Playlist,playlist
METSA - KAPOMO & THE EAGLETS, Irapaya,,,My Playlist,playlist
GROUPE RTD / ASMA OMAR - Raga Kaan Ka'Eegtow (You Are the One I Love),,,My Playlist,playlist
ROY BROOKS - Will Pans Walk,,,My Playlist,playlist
THE CHARLIE ROUSE BAND - Backwoods Echo (Sertão),,,My Playlist,playlist
JUNIOR MURVIN - Cool Out Soon,,,My Playlist,playlist
DUCHAMP - The Wild Joy,,,My Playlist,playlist
DUCHAMP - Fulaxos,,,My Playlist,playlist
DAMĀVAND - Hard As A Leaf ft. Tetsuroh Konishi,,,My Playlist,playlist
WIDAD MJAMA & KHALIL EPI - Hajti fi grini,,,My Playlist,playlist
WIDAD MJAMA & KHALIL EPI - Chelini,,,My Playlist,playlist
WIDAD MJAMA & KHALIL EPI - Kabel El Kaayl,,,My Playlist,playlist
WIDAD MJAMA & KHALIL EPI - Radoni,,,My Playlist,playlist
BONNIE PRINCE BILLY - Look Backwards On Your Future, Look Forward To Your Past,,,My Playlist,playlist
BONNIE PRINCE BILLY - Why Is The Lion,,,My Playlist,playlist
BONNIE PRINCE BILLY - Liffeyside / Raining In Darling,,,My Playlist,playlist
Piano" - Maple Death Records MDR060 - Black Sweat Records,,,My Playlist,playlist
ZA! + TOMÁS DE PERRATE - Steve Kahn,,,My Playlist,playlist
WE HAVE ZERO VISIBILITY - The Other Front, Making Of,,,My Playlist,playlist
MU - Nothing Has Been Said That Matter Most,,,My Playlist,playlist
FEDERICO MOSCONI FEAT. BARBARA DE DOMINICIS - Frammento II. 15000 Minuti,,,My Playlist,playlist
ISAIAH HULL - Fishscales,,,My Playlist,playlist
LINTON KWESI JOHNSON - Story,,,My Playlist,playlist
TOM SKINNER - Longue,,,My Playlist,playlist
KASSA OVERALL - Nothin But A "G" Thang,,,My Playlist,playlist
LAC OBSERVATION - Greenland Myth / Birch Canoe,,,My Playlist,playlist
LAC OBSERVATION - The Latewood Ambulance (for Bill Doss),,,My Playlist,playlist
YARA ASMAR - The Familiar Scenography Of Electrons Waltzing Across The Screen In Your Peripheral Vision, You Avoid Its Gaze Like A Tired Husband You Have Outgrown,,,My Playlist,playlist
MARK TURNER - Movement 1. Anonymous,,,My Playlist,playlist
MARK TURNER - Movement 8. Pragmatism,,,My Playlist,playlist
ANNE-JAMES CHATON - ANDY MOOR & YANNIS KYRIAKIDES, Ecrire une phrase,,,My Playlist,playlist
MOHAMMAD REZA MORTAZAVI - Dornâ,,,My Playlist,playlist
THE ALIEN DUB ORCHESTRA - Caprinæ Subfamily,,,My Playlist,playlist
URSULA RUCKER & TIM MOTZER - Brain Stream,,,My Playlist,playlist
URSULA RUCKER & TIM MOTZER - Begin a New,,,My Playlist,playlist
URSULA RUCKER & TIM MOTZER - Crack It Open,,,My Playlist,playlist
URSULA RUCKER & TIM MOTZER - Black Queen,,,My Playlist,playlist
URSULA RUCKER & TIM MOTZER - Supa Sister,,,My Playlist,playlist
NAI BARGHOUTI - Rajeen - Maqam Productions 2021,,,My Playlist,playlist
MAJAZZ PROJECT / PALESTINIAN SOUND ARCHIVE - Like A Wounded Bird,,,My Playlist,playlist
CASTELO - Piru Piru,,,My Playlist,playlist
LAY LLAMAS - Through The Magic Gateway feat. Joao Branco Kyron,,,My Playlist,playlist
LAY LLAMAS - Suddenly A Ghost Jungle,,,My Playlist,playlist
MĀYĀ - Rainforest Drop,,,My Playlist,playlist
EVA NOVOA - Free To Be Free,,,My Playlist,playlist
MATTHEW PUTMAN / HILL GREENE / FRANCISCO MELA - Joy And Belief,,,My Playlist,playlist
EVA NOVOA - Dream,,,My Playlist,playlist
INGEBRIGT HÅKER FLATEN (EXIT) KNAR - Kanón (for Paal Nilssen-Love),,,My Playlist,playlist
THE EXPERIMENTAL TROPIC BLUES BAND - Tropic,,,My Playlist,playlist
MICHELE DI STEFANO - Aside (excerpt),,,My Playlist,playlist
KRISTEN NOGUÈS & JOHN SURMAN - Kleier,,,My Playlist,playlist
DAVID MURRAY QUARTET - Ninno,,,My Playlist,playlist
DAVID MURRAY QUARTET - Nectar,,,My Playlist,playlist
DAVID MURRAY QUARTET - Metouka Sheli,,,My Playlist,playlist
DAVID MURRAY QUARTET - Seriana promathia,,,My Playlist,playlist
DAVID MURRAY QUARTET - Come and Go,,,My Playlist,playlist
DAVID MURRAY QUARTET - Afrika,,,My Playlist,playlist
THE PLASTIC BEATNIKS - War Memoir ft. Moor Mother,,,My Playlist,playlist
LES RALLIZES DÉNUDÉS - Deeper Than The Night,,,My Playlist,playlist
SARA PERSICO - Phoenix Plain,,,My Playlist,playlist
ALICE - 5 Mille Ans, de "Châteaux Faibles" – Les Disques Bongo Joe,,,My Playlist,playlist
ALICE - L'eau sans Citron, de "Châteaux Faibles" – Les Disques Bongo Joe,,,My Playlist,playlist
WOW - Rosa di Luce,,,My Playlist,playlist
WOW - Creature Fragili,,,My Playlist,playlist
RAY'S VOICES - Song For Gaza,,,My Playlist,playlist
MIKE COOPER - A Land Of Remorse,,,My Playlist,playlist
ORCHESTRE TOUT PUISSANT MARCEL DUCHAMP - Square Peg Round Hole,,,My Playlist,playlist
SEMAY WU - A Long Road,,,My Playlist,playlist
ANOUSHKA SHANKAR - Chapter I: Forever, For Now,,,My Playlist,playlist
ANOUSHKA SHANKAR - Chapter II: How Dark It Is Before Dawn,,,My Playlist,playlist
ANOUSHKA SHANKAR - Chapter III: We Return to Light,,,My Playlist,playlist
HERMETO PASCOAL - ELIS REGINA, Asa Branca,,,My Playlist,playlist
HAMILTON DE HOLANDA - ANDRÉ MEHMARI, Menino Hermeto, Gismonti Pascoal: A Música de Hermeto e Egberto - Brasilianos,,,My Playlist,playlist
SOPHIE COURONNE - Hurricane Katrina,,,My Playlist,playlist
THE SLITS - Newton,,,My Playlist,playlist
LED BIB - A Tin Teardrop,,,My Playlist,playlist
FARAH KADDOUR & MARWAN TOHME - Kayfa Taltaqi Al-Qulub,,,My Playlist,playlist
JOE DOBKIN - Falndike Vent (Falling Walls),,,My Playlist,playlist
VIV CORRINGHAM - July (Prespes, Greece),,,My Playlist,playlist
VIV CORRINGHAM - November (Museum of Modern Art, NYC),,,My Playlist,playlist
HAND TO EARTH - Ŋurru Wäŋa Part I,,,My Playlist,playlist
HAND TO EARTH - Ŋurru Wäŋa Part II,,,My Playlist,playlist
MICHAEL ALPERT - Khorbn Aze (The Devastation of Gaza),,,My Playlist,playlist
LED BIB - A Tin Teardrop,,,My Playlist,playlist
STEPHEN O'MALLEY - Gruidés,,,My Playlist,playlist
PLAINSPEAK - The Pulseman,,,My Playlist,playlist
FRANCESCO FUSARO - For Bell Hooks,,,My Playlist,playlist
FRANCESCO FUSARO - Permutations,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Liberty Bell,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - The Mob Burns Down Pennsylvania Hall (1),,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - The Mob Burns Down Pennsylvania Hall (2),,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - The ICY School,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Don't Kill Children,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Men To Arms,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Piano Introduction,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Baseball Hero Of 1867,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Murder,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Caroline Le Count's Lament,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Shouting Out My Joy,,,My Playlist,playlist
URI CAINE TRIO WITH BARBARA WALKER - Stormy Monday,,,My Playlist,playlist
ANATOLI KULAAR - Xomuz (Jew's Harp) Imitating Water,,,My Playlist,playlist
ARIEL KALMA / DAVIDE ZOLLI / RICCARDO SINIGAGLIA - Three Blokes In Adameno,,,My Playlist,playlist
COOPER-MOORE / ASSIF TSAHAR - America,,,My Playlist,playlist
MARC RIBOT - St. James Infirmary,,,My Playlist,playlist
URSULA RUCKER - Philadelphia Child,,,My Playlist,playlist
NUDO - Anthem huichacolero,,,My Playlist,playlist
QUR'AN SHAHEED - Fix It, Pt. 1 / Fix It, Pt. 2,,,My Playlist,playlist
UNFALL - Scicli,,,My Playlist,playlist
UNFALL - Canon X,,,My Playlist,playlist
UNFALL - Chorale,,,My Playlist,playlist
GIANNI GEBBIA - False Acacie,,,My Playlist,playlist
GIANNI GEBBIA - Calor,,,My Playlist,playlist
MAI MAI MAI & COSIMO DAMIANO - Sind ft. Faraualla & ARS LUDI Ensemble,,,My Playlist,playlist
PLAINSPEAK - Buggin' The Bug,,,My Playlist,playlist
PLAINSPEAK - Someone To Someone,,,My Playlist,playlist
FRED ELIAS & BUDDY SARKISSIAN - Extravaganza 1,,,My Playlist,playlist
FRED ELIAS & BUDDY SARKISSIAN - Tsamika,,,My Playlist,playlist
SHAHRZAD - Agmal Leila,,,My Playlist,playlist
SHAHRZAD - En Rah Minak Ya Ain,,,My Playlist,playlist
RED BARAAT - Bhangra Rangeela feat. SMK & Bakshi Brothers,,,My Playlist,playlist
PAOLO ANGELI - Storia a uno,,,My Playlist,playlist
PAOLO ANGELI - Isismesc,,,My Playlist,playlist
PAOLO ANGELI LIVE & INTERVISTA PAOLO ANGELI LIVE - Periplo PAOLO ANGELI LIVE, Sciumara PAOLO ANGELI LIVE, Mavi PAOLO ANGELI LIVE, Azafrán / Nakba PAOLO ANGELI LIVE, Conca Entosa PAOLO ANGELI LIVE, Ramadura PAOLO ANGELI, Trasfigurazioni in ripresa,,,My Playlist,playlist
PAOLO ANGELI - Dove dormono gli autobus,,,My Playlist,playlist
ZA! + TOMÁS DE PERRATE - La milonga,,,My Playlist,playlist
PIEDICAVALLO FESTIVAL - Sezione Lüria - Piedicavallo / Valle Cervo (BI), dal 22 al 24 agosto 2025,,,My Playlist,playlist
HOLYDAYS FESTIVAL - Scopoli (PG), 1-3 agosto 2025,,,My Playlist,playlist
HOCUS POCUS 4 + FRANCO DEGRASSI - Take One (estratto),,,My Playlist,playlist
BITOI - Fi-O-Oi,,,My Playlist,playlist
LARS ROCK FEST 2025 - Chiusi (SI), 4/5/6 luglio 2025,,,My Playlist,playlist
MARTA SALOGNI & FRANCESCO FONASSI - Orafiore,,,My Playlist,playlist
CLIFFORD JORDAN QUARTET - John Coltrane,,,My Playlist,playlist
CHARLES ROUSE - Hopscotch,,,My Playlist,playlist
BILLY PARKER'S FOURTH WORLD - Get With It,,,My Playlist,playlist
LONNIE HOLLIE - We Was Kings In The Jungle, Slaves In The Field,,,My Playlist,playlist
Registrato al Montreux Jazz Festival - Montreux, 13 luglio 2007,,,My Playlist,playlist
BEE LIVERS - Becky Bee,,,My Playlist,playlist
BEE LIVERS - Go Away,,,My Playlist,playlist
SCHEDARS - Left With,,,My Playlist,playlist
BAO MUSIC FESTIVAL 2025 - Monticelli Brusato, 20-21 giugno 2025, Valle Trompia 11-13 luglio 2025,,,My Playlist,playlist
KAITO WINSE - An-Kôri,,,My Playlist,playlist
EVA NOVOA / MASA KAMAGUCHI / GERALD CLEAVER TRIO - Modus Vivendi,,,My Playlist,playlist
concerti & eventi MATERIALE RESISTENTE TRENTENNALE - Savoniero di Palagano (Modena), sabato 14 giugno 2025,,,My Playlist,playlist
MAROSI FESTIVAL - Variazioni sulle singolarità del mare, 7° edizione, Isola di Stromboli (ME), 14 - 19 giugno 2025,,,My Playlist,playlist
FILM SOCIETY BIONOMIC SCREENING - 8° performance, Cinema Massimo, Torino, venerdì 20 giugno, 2025,,,My Playlist,playlist
MIRIAM - Arrivano le giraffe, "Sing-A-Beast" - Dissipatio,,,My Playlist,playlist
MIRIAM - Istrice Serenade, "Sing-A-Beast" - Dissipatio,,,My Playlist,playlist
THE DENGIE HUNDRED - Lato B,,,My Playlist,playlist
FABIO ORSI - Secondo appunto,,,My Playlist,playlist
FABIO ORSI / MASSIMO AMATO - Atacama,,,My Playlist,playlist
MARIA W HORN & MATS ERLANDSSON - Himlaglöd part II,,,My Playlist,playlist
THE BOOKS - Enjoy Your Worries, You Might Never Have Them Again,,,My Playlist,playlist
ADRIANA CALCANHOTTO - Eu Vivo A Sorrir da "Micróbio do Samba" - Sony Music,,,My Playlist,playlist
MAJOR LAZAR - Que Calor feat. J Balvin & El Alfa – 7" Mad Decent Records,,,My Playlist,playlist
PTAZETE / FRIANA / JUACKO - Trakatá – 7" Sony Music,,,My Playlist,playlist
EL ALFA / YANDEL / MIKE TOWERS - Dembow y Reggaeton - El Jefe Records,,,My Playlist,playlist
THOMI DJ - Tumba – 7" Autoproduzione,,,My Playlist,playlist
12 DISCIPULOS - EDDIE DEE - DADDY YANKEE, GALLEGO, TEGO CALDERON, VOLTIO, IVY QUEEN, JOHNNY PREZ, WISO G, LENNOX, Quítate Tu Pa' Ponerme Yo,,,My Playlist,playlist
KOTONASHISO - Rinjin no yume,,,My Playlist,playlist
MARK ERNESTUS' NDAGGA RHYTHM FORCE W/ MBENE DIATTA SECK - Nimzat,,,My Playlist,playlist
DELI KUVVETI - Kuşlar söyledi,,,My Playlist,playlist
MERCHANTS - Mellified,,,My Playlist,playlist
DAVE LIEBMAN / BILLY HART / ADAM RUDOLPH - Intent,,,My Playlist,playlist
KOTONASHISO - Karappo Jelly,,,My Playlist,playlist
PALESTINIAN SOUND ARCHIVE - tour italiano, 3-29 giugno 2025,,,My Playlist,playlist
HERO - artista anonimo,,,My Playlist,playlist
DALAVA - Escape Velocity,,,My Playlist,playlist
DALAVA - The Way Down,,,My Playlist,playlist
RA DI SPINA - Marretana,,,My Playlist,playlist
BEACHES BREW 2025 - Marina di Ravenna, 10-12 giugno 2025,,,My Playlist,playlist
VICA PACHECO - Las Manos,,,My Playlist,playlist
GAMMA MARCH - Tauira,,,My Playlist,playlist
VALENTINA VILLARROEL - Kuyen,,,My Playlist,playlist
IVANKA COTRINA - 4 estrellas del sol - Tawa Coyllur Inti,,,My Playlist,playlist
JOCY DE OLIVEIRA - Wave Song,,,My Playlist,playlist
GRACIELA CASTILLO - Concreción 65 - (1965),,,My Playlist,playlist
SÃO PAULO UNDERGROUND - Basilio's Crazy Wedding Song,,,My Playlist,playlist
STEVEN BERNSTEIN / LAURIE ANDERSON / MARSHALL ALLEN / SEX MOB / KRONOS QUARTET - Images Suite (Images / Horoscope / Ancient Aiethopia / Interstellar Low Ways),,,My Playlist,playlist
SILT REMEMBRANCE ENSEMBLE - Silt Remembrance,,,My Playlist,playlist
GARD NILSSEN'S SUPERSONIC ORCHESTRA - The Space Dance Experiment,,,My Playlist,playlist
MATTEO PAGGI - Slow My Skiing,,,My Playlist,playlist
PLASMA D'ARC - Ligne Triple,,,My Playlist,playlist
SPECTRE - Boulder,,,My Playlist,playlist
SPECTRE - Dead On One's Feet,,,My Playlist,playlist
PLASMA D'ARC - Hélice,,,My Playlist,playlist
SKIN FLESH AND BONES - Fading Dub – 7" Jama Music,,,My Playlist,playlist
SILT REMEMBRANCE ENSEMBLE - Memory (feat. No Land),,,My Playlist,playlist
SILT REMEMBRANCE ENSEMBLE - River Road,,,My Playlist,playlist
NIDO - Primo mese,,,My Playlist,playlist
ACCHIAPPASHPIRT - Ninulla (estratto),,,My Playlist,playlist
NIDO - Sesto mese,,,My Playlist,playlist
GAFACCI X MONI - Juana feat. Joey B.,,,My Playlist,playlist
ATAMINA - Sycophantic Friends,,,My Playlist,playlist
KING AYISOBA - People Talk Too Much,,,My Playlist,playlist
PAT THOMAS & EBO TAYLOR - Ene Nyame Nam 'A' Mensuro,,,My Playlist,playlist
APARTICLE - Raklad,,,My Playlist,playlist
HACO - SAKAMOTO HIROMISHI, Hash In The Rainbow,,,My Playlist,playlist
MANYFINGERS - Ballybane, The Hospital Radio Request List Vol. Two - Sink And Stove Records,,,My Playlist,playlist
MERCENÁRIAS - Ontem,,,My Playlist,playlist
E.G.A. - Haoma,,,My Playlist,playlist
E.G.A. - Flauto di vertebre,,,My Playlist,playlist
MADDIE ASHMAN - Blossom / Bonfire,,,My Playlist,playlist
VIOLETA GARCÍA - HORA LUNGA, I'll Wait For You In The McDonalds Car Park, "I'll Wait For You In The Car Park" - -OUS,,,My Playlist,playlist
LUCA TILLI / SEBI TRAMONTANA / STEVE BERESFORD - Flying Slippers Part 3,,,My Playlist,playlist
PAUL DUNMALL QUARTET - Here Today Gone Tomorrow,,,My Playlist,playlist
JOHN SURMAN - Background,,,My Playlist,playlist
MERCENÁRIAS - Lucidez,,,My Playlist,playlist
MAD PROFESSOR - Avianca Dubs – Dub 1 – 12" Avianca Dubs,,,My Playlist,playlist
MAD PROFESSOR - Avianca Dubs – Dub 2 – 12" Avianca Dubs,,,My Playlist,playlist
O.B.F. - Ruffer Dubplate Mix (Original 2013 Mix) – 12" Dubquake Records,,,My Playlist,playlist
KANNASTE4 - Different Worlds da "Out Of Self And Into Others" - We Jazz Records,,,My Playlist,playlist
RAFAEL TORAL - First Long Space (estratto),,,My Playlist,playlist
SONS OF MEMBERTOUM - Kepmite'tmnej (Mi'kmaq Honour Song),,,My Playlist,playlist
JAZZ IS DEAD! FESTIVAL 2025 - Torino, 30 maggio / 2 giugno 2025,,,My Playlist,playlist
GIANLUCA PETRELLA - XXXSuite,,,My Playlist,playlist
VIJAY IYER / CRAIG TABORN - Shakedown,,,My Playlist,playlist
GERI ALLEN TRIO WITH RON CARTER - TONY WILLIAMS, Drummer's Song,,,My Playlist,playlist
VIRTUAL FOREST - The Angel of the Abyss and the Door through the Underworld,,,My Playlist,playlist
THE INTELLECTUALS - Blood Party,,,My Playlist,playlist
BBM - α cigni,,,My Playlist,playlist
FUTURO ANTICO - Schirak,,,My Playlist,playlist
ELIO MARTUSCIELLO/OSSATURA - In grazia di uno spostamento sagittale,,,My Playlist,playlist
ONDAKEIKI - Flower Drift (Neurotica Exotica remix),,,My Playlist,playlist
DAVIDE 'BOOSTA' DILEO - Cortex,,,My Playlist,playlist
DAVIDE 'BOOSTA' DILEO - In My Room, Pt. 2,,,My Playlist,playlist
ELVIN BRANDHI - W'sssSsST (excerpt),,,My Playlist,playlist
SHEIKH AMIN ABDEL QADER - Mould fi Madina Tanta (Born in the City of Tanta),,,My Playlist,playlist
SAMAH - Shawish Aldawriat (Patrol Sargeant),,,My Playlist,playlist
AMMAR EL SHEREI - Balad El Mahob,,,My Playlist,playlist
AMMAR EL SHEREI - El Donya Helwa,,,My Playlist,playlist
AWA KHIWE - Uthando Alulamgoqo da "African Women Arise" - Outhere Records,,,My Playlist,playlist
BLACKXWASH - Only Dust Remains,,,My Playlist,playlist
BLACKXWASH - 9th Heaven,,,My Playlist,playlist
GOYA GUMBANI - Driftin' Interludes,,,My Playlist,playlist
GOYA GUMBANI - Chase The Sunshine,,,My Playlist,playlist
MASSIMO BARBIERO & MARKUS STOCKHAUSEN - Terra (felicità),,,My Playlist,playlist
THOLLEM MCDONAS / ALVARO ROSSO - From Now To Birth, A Lifetime Between (excerpt),,,My Playlist,playlist
QUARTETTO PSICOGEOGRAFICO - Sq. 3,,,My Playlist,playlist
CEMENTO ATLANTICO - Black'n'Red,,,My Playlist,playlist
DELMORE FX - The 3rd Half,,,My Playlist,playlist
FIGLI DI PULCINELLA - Cristalli di Pulcinella,,,My Playlist,playlist
ANDREA BELFI - JULES REIDY, Dessus,,,My Playlist,playlist
CRISCO 3 - Flop Top,,,My Playlist,playlist
EVITA POLIDORO - Aria di Pioggia,,,My Playlist,playlist
DAVID THOMAS & THE PEDESTRIANS - Big Breezy Day,,,My Playlist,playlist
DAVID THOMAS AND THE ACCORDION CLUB - The Egg And I,,,My Playlist,playlist
MARK SPRINGER / NEIL TENNANT / SACCONI STRING QUARTET - V. My Friend The Monster,,,My Playlist,playlist
PRINCE FAR I - The Lords Prayer,,,My Playlist,playlist
THE HANDOVER - The Handover Part 2 (estratto),,,My Playlist,playlist
PRINCE FAR I - Psalm 53,,,My Playlist,playlist
TRIO DA KALI - Cela Sigui,,,My Playlist,playlist
KING TUBBY - Mercy Horns,,,My Playlist,playlist
MARK SPRINGER / NEIL TENNANT / SACCONI STRING QUARTET - VI. The Madness Of The Summer,,,My Playlist,playlist
PRINCE FAR I - Psalm 2,,,My Playlist,playlist
BLIND IO - Miss Flitworth,,,My Playlist,playlist
BLIND IO - Bary Center,,,My Playlist,playlist
DAWN AFTER DAWN - Last Chance to Love,,,My Playlist,playlist
SILT REMEMBRANCE ENSEMBLE - The Poet,,,My Playlist,playlist
DANIEL CARTER / AYUMI ISHITO - Dreamy Contagion,,,My Playlist,playlist
CAROLINE WONDERLAND - Sooner Or Later,,,My Playlist,playlist
CAROLINE WONDERLAND - Blues For Gene,,,My Playlist,playlist
JOHN SURMAN - Hallo Thursday,,,My Playlist,playlist
GLAUCO SALVO - Doca do Bom Sucesso,,,My Playlist,playlist
HEROIN IN TAHITI - Costa Concordia,,,My Playlist,playlist
LAY LLAMAS & ALFIO ANTICO - Malophòros,,,My Playlist,playlist
JAHIRA OKWERA - Awinyo Bila,,,My Playlist,playlist
OTZE - Am Rand Ein Leben,,,My Playlist,playlist
HEINER MÜLLER & EINSTÜRZENDE NEUBAUTEN - Die Hamletmaschine,,,My Playlist,playlist
OTZE - Party Im Cannabisbeet,,,My Playlist,playlist
AGENT PROVOCATEUR FEATURING SIOBHAN FAHEY - She's Lost Control (12") – Sanctuary,,,My Playlist,playlist
PACHA WAKAY MUNAN - Pacha wakay munanqa,,,My Playlist,playlist
ANGEL BAT DAWID & NAIMA NEFERTARI - Black Stones Of Sirus,,,My Playlist,playlist
Elementi - luoghi vari, dal 2 maggio al 27 luglio 2025,,,My Playlist,playlist
VILHELM BROMANDER UNFOLDING ORCHESTRA - Calliope,,,My Playlist,playlist
RICCARDO LA FORESTA - 20230704_102400.jpg ft. Ale Hop, Anthony Pateras & Valerio Tricoli,,,My Playlist,playlist
PHILIPPE PETIT - Closing Our Eyes, Part 6,,,My Playlist,playlist
MARIA VIOLENZA & IRTUMBRANDA - Quannu iu moru,,,My Playlist,playlist
MARIA VIOLENZA & IRTUMBRANDA + TROPICANTESIMO - Pescheria session (estratto),,,My Playlist,playlist
PRINCE JAZZBO - Meet Me In The 6th Street,,,My Playlist,playlist
PRINCE JAZZBO - Zulu Land,,,My Playlist,playlist
U ROY - Dancehall Memories,,,My Playlist,playlist
PHONOLAB - Res Q Me – feat. Bill Laswell,,,My Playlist,playlist
PHONOLAB - Disturbia – feat. Mark Stewart,,,My Playlist,playlist
LEE PERRY WITH THE FLYING VICARS & SIR FREDDY VIADUCT - Scratch On The Wire,,,My Playlist,playlist
J ENNIFER LARA - We Can Make It Work – 7" Planets,,,My Playlist,playlist
PAOLO BALDINI DUBFILES MEETS QUEEN OMEGA - You Are Not Alone – 7" La Tempesta Dub,,,My Playlist,playlist
JAKOB BRO - THOMAS KNAK, G Major Song Rebuilt,,,My Playlist,playlist
ROY AYERS UBIQUITY - Everybody Loves the Sunshine,,,My Playlist,playlist
BLACKXWASH - Black Lazarus,,,My Playlist,playlist
BLACKXWASH - History Of Violence,,,My Playlist,playlist
NATIONAL INFORMATION SOCIETY - BITCHIN BAJAS, Only 9 Seconds Away,,,My Playlist,playlist
CHRISTER BOTHÉN 3 - L'INVISIBLE, Partie 2,,,My Playlist,playlist
CHRISTER BOTHÉN 3 - L'INVISIBLE, Partie 1,,,My Playlist,playlist
AngelicA 35 - Bologna, dal 30 aprile al 31 maggio 2025,,,My Playlist,playlist
CHARLEMAGNE PALESTINE & RHYS CHATHAM - Third (estratto),,,My Playlist,playlist
BLACKXWASH - Wake Up,,,My Playlist,playlist
TAMPAX - Tampax (In The Cunt) – 7" Compact Cassette Records,,,My Playlist,playlist
NATIONAL INFORMATION SOCIETY - BITCHIN BAJAS, Clock No Clock,,,My Playlist,playlist
